"","ASV","Feature.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Consensus"
"1","ASV1716","000006f767a64ae561215291304df0ab","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2","ASV3458","0016a37896155711d9e61dd7b2a16e9a","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Saccharomycopsidaceae"," g__Saccharomycopsis",NA,0.9
"3","ASV3164","0019656f9b8591346241cb195633c86b","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"4","ASV3936","002d6bc950fe01541c28ce3df5e976fa","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes",NA,NA,NA,NA,0.8
"5","ASV944","003f2d776815b82ee9436cc316c8fb6a","d__Eukaryota"," p__Ascomycota"," c__Lecanoromycetes",NA,NA,NA,NA,0.6
"6","ASV3068","004ad5ba0572b33be534f2393b942e98","d__Eukaryota"," p__Chytridiomycota",NA,NA,NA,NA,NA,0.8
"7","ASV4241","0079ebc4cafe7db9bb4d68dbfc162efb","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Stachybotryaceae",NA,NA,0.6
"8","ASV552","007a6069a5e6ea694e96867d42e389fa","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.9
"9","ASV1445","00a3d2ec0493ed7ffd30412c9a867fb9","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Onygenales"," f__Arthrodermataceae",NA,NA,0.7
"10","ASV1757","00a67dfeb83e14fa71ec296500e94b17","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales"," f__Cuniculitremaceae"," g__Kockovaella",NA,1
"11","ASV1985","00b58005ebf3767fef18363c4f4a7d94","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.7
"12","ASV2867","00cf919de050774550ebf0c4bbd95de5","d__Eukaryota"," p__Labyrinthulomycetes",NA,NA,NA,NA,NA,0.8
"13","ASV577","00d9150d3bb0d4232ae9cca711271c34","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"14","ASV670","00df8ce3d2754c19349a5582cc50e754","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Microbotryomycetes"," f__Microbotryomycetes"," g__Microbotryomycetes"," s__Trigonosporomyces_hylophilus",1
"15","ASV302","00e5963f1f4ce9fc621c7c53d794741e","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.6
"16","ASV1448","00e633299744d0e4aa80374230530518","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Metschnikowiaceae"," g__Metschnikowia",NA,1
"17","ASV818","0100bf6984c052b4798e2717cc37e77d","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Ceratobasidiaceae",NA,NA,0.7
"18","ASV1705","01061936a36af147f1d0765e574ecc39","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Incertae_Sedis"," g__Acremonium",NA,0.6
"19","ASV3822","01332209fbebcce1787ae542813e0f6c","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.9
"20","ASV4353","0140c5d2f688a1f660fb19c4eef0d494","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"21","ASV121","01624f71b5dd62571929139b1f19809e","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales",NA,NA,NA,0.8
"22","ASV2799","0164063b2b9691a1d16b3ed18e8f37c2","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.8
"23","ASV3395","0185e87b2f3d3f8246033ab74bd15ee6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Xylariaceae",NA,NA,1
"24","ASV3021","019181d692f28efbdc59196c85bb938e","d__Eukaryota"," p__Cryptomycota"," c__LKM11"," o__LKM11"," f__LKM11"," g__LKM11",NA,0.8
"25","ASV3072","01959eb8ca1670f3ef52d285ead891b7","d__Eukaryota"," p__Ascomycota"," c__Pezizomycetes"," o__Pezizales"," f__Pyronemataceae",NA,NA,0.7
"26","ASV4698","01a6e0c908faa81e59e0ade9d089a779","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"27","ASV973","01af248d3a62650dae64cb79de48fdf1","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Eurotiales"," f__Aspergillaceae"," g__Aspergillus",NA,0.8
"28","ASV4611","01c2c523c5e406a3057d7e5c6d07f00b","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales",NA,NA,NA,0.7
"29","ASV376","01c3b418b0f467072f15db3c4a48f61f","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Pichiaceae"," g__Pichia",NA,1
"30","ASV2369","01e5dba8c90f6115c8fbc896c08d0512","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",0.6
"31","ASV912","01e63d2f1175947be960855f40709d80","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes",NA,NA,NA,NA,1
"32","ASV2975","01e86fb793e23807f1c3902b6d63c8a7","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.9
"33","ASV1874","01ee3c1fc397494d75f10de38e2a4661","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes",NA,NA,NA,NA,0.6
"34","ASV3396","01faa69d3f46f0ffdb2fcc6536a4eb11","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales"," f__Chaetomellaceae",NA,NA,0.8
"35","ASV4355","0201db577c2214f3cd9df97816199b8d","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"36","ASV861","0202431fad9f3fe99cbe97488868cb37","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales"," f__Herpotrichiellaceae",NA,NA,0.6
"37","ASV1953","0224cda65228fc3f93dabe5db3873f74","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes",NA,NA,NA,NA,0.9
"38","ASV3509","0237e9dc3a7669ac1d068ede9297fc76","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,0.8
"39","ASV1643","026bd795b140418f745f627ab0d92f66","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Agaricostilbaceae",NA,NA,0.7
"40","ASV349","027214dd108f2a3ab732e79acf569208","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Russulales"," f__Stereaceae",NA,NA,0.7
"41","ASV1328","027c0c0c95cd74609e56a85229334c26","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales"," f__Marasmiaceae",NA,NA,0.6
"42","ASV3931","028ae53ed73e3263f6b4d1ecaca469ec","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Tulasnellaceae"," g__Tulasnella"," s__Tulasnella_violea",1
"43","ASV4218","02a2842853568f239e4964f18af3ea77","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.9
"44","ASV3288","02b2f79c01a86186a70d1a6a826e1358","d__Eukaryota"," p__Peronosporomycetes"," c__Peronosporomycetes"," o__Peronosporomycetes"," f__Peronosporomycetes"," g__Phytophthora",NA,0.6
"45","ASV2514","02de4ed88eb5e4fb1688196e2c56cd9a","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"46","ASV2504","02e98768a8be83347a4413fac3d5234f","d__Eukaryota"," p__Peronosporomycetes"," c__Peronosporomycetes"," o__Peronosporomycetes"," f__Peronosporomycetes"," g__Phytophthora",NA,0.7
"47","ASV3829","031917172e924ac2f2eeb863accdec69","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.8
"48","ASV3308","0339ff79a7bb38d46c6c401be8d94b2c","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,0.9
"49","ASV4151","034a067ff9c257ec54fda130b22a0dbd","d__Eukaryota"," p__Basidiomycota"," c__Pucciniomycetes"," o__Pucciniales"," f__Pucciniaceae"," g__Puccinia"," s__uncultured_fungus",0.6
"50","ASV646","0362f2c1011e33361cecf3271239fd48","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"51","ASV1153","0370b36be5798819619d5259a83e17f9","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"52","ASV3908","037fdde421869ac18f61bba13d467351","d__Eukaryota"," p__Cryptomycota"," c__LKM11"," o__LKM11"," f__LKM11"," g__LKM11"," s__uncultured_eukaryote",1
"53","ASV1828","038d3865b62b37c2023a8e15288f9c20","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"54","ASV4601","03990104b3185c113f9da601c8c93141","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"55","ASV3242","03a4dfb0d4e249d4d23f1a664bc47588","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Auriculariales"," f__Auriculariaceae"," g__Auricularia"," s__Auricularia_polytricha",0.6
"56","ASV2366","03bfeb0d100f72409788d2b62a976620","d__Eukaryota"," p__Mucoromycota"," c__Incertae_Sedis"," o__Endogonales"," f__Endogonaceae"," g__uncultured"," s__Mucoromycotina_sp.",0.8
"57","ASV412","03c4480053e273a90f62f359cd172f37","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Clavicipitaceae"," g__Metarhizium"," s__Metarhizium_anisopliae",0.8
"58","ASV4108","03c781a6dee590c81cde5ed2d82fd3a9","d__Eukaryota"," p__Basidiomycota",NA,NA,NA,NA,NA,0.7
"59","ASV4019","03e560e72a5863c28f25ee1a1e6887ad","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes",NA,NA,NA,NA,0.6
"60","ASV2658","041034492d7b64f970ad383569e019b7","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.9
"61","ASV4473","0422621b5a35d69be8fca0d50cf3837b","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Russulales"," f__Stereaceae"," g__uncultured"," s__uncultured_fungus",0.6
"62","ASV2129","043affe78d905f73c74ae74956f13617","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.9
"63","ASV4664","043cc955734c70b562b559af81ab50c1","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes"," o__Gromochytriales"," f__Gromochytriaceae"," g__uncultured"," s__uncultured_Chytridiomycota",0.6
"64","ASV4529","0455f1fa8b8b5a09d166c56960b77998","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Xylariaceae",NA,NA,0.6
"65","ASV4519","048ba5169bb041a46d29cb5e3db7b73f","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes",NA,NA,NA,NA,0.7
"66","ASV3299","04966e9f63d1f9db34254597c435f961","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Nectriaceae"," g__Fusarium"," s__Fusarium_graminearum",0.8
"67","ASV1830","049c864980dcd3de90aefb5b047e1f0f","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"68","ASV3250","04a1d1fdd1ab16dbbc67261e1bab2b24","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales"," f__Mycosphaerellaceae",NA,NA,0.6
"69","ASV3615","04a35af4b1dfc924621e3bc3cb92f598","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Agaricostilbaceae",NA,NA,0.8
"70","ASV2133","04a658f4fd7c5a8376d4154953ec0a39","d__Eukaryota"," p__Labyrinthulomycetes"," c__Labyrinthulomycetes"," o__Labyrinthulomycetes"," f__Labyrinthulaceae"," g__Labyrinthula"," s__uncultured_labyrinthulid",1
"71","ASV4654","04a8f57cce484a3651ee85484a218a8c","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes",NA,NA,NA,NA,1
"72","ASV2692","04bcdaa073b27dd3b6f83955944b60f8","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Agaricostilbaceae",NA,NA,0.6
"73","ASV3454","04c40922aed4a5d147210571b1054273","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Botryosphaeriales",NA,NA,NA,0.6
"74","ASV1398","04cd1a96c19cee468fb75858b92b1874","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes"," o__Chytridiales",NA,NA,NA,0.6
"75","ASV1950","04ce4f43ea24c6b18189dc43417dabea","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Auriculariales"," f__Auriculariaceae"," g__Auricularia"," s__Auricularia_polytricha",0.6
"76","ASV4372","04fdd310071875e0e74b0b21111e3e71","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes",NA,NA,NA,NA,1
"77","ASV2118","0508341c1a8d263e524b29a582282402","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.7
"78","ASV2309","0509a4086b68ffe24eec1c5d94c092e6","d__Eukaryota"," p__Peronosporomycetes"," c__Peronosporomycetes"," o__Peronosporomycetes"," f__Peronosporomycetes",NA,NA,0.8
"79","ASV4534","051452df95ad0bd69ebf77c504b1b7d9","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.8
"80","ASV4196","051e25b05d1a5ccb51f827718938cbc6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.9
"81","ASV3841","051fe51552dd3f4477d9503c034841a9","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales"," f__Mycosphaerellaceae"," g__Ramularia"," s__Ramularia_endophylla",0.7
"82","ASV3586","052723d45cf1a7955779f4b552b8a26b","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes",NA,NA,NA,NA,0.7
"83","ASV4104","052f28948052dc67df467d26bc0906b3","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Sporidiobolales"," f__Sporidiobolaceae"," g__Rhodotorula",NA,0.6
"84","ASV3168","053fc8b3a9bea2aa0ccd1b1da119a21b","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.6
"85","ASV1321","0541514c10e1e72a917d32d2f2e808a0","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes"," o__Spizellomycetales"," f__Powellomycetaceae",NA,NA,0.6
"86","ASV3578","0556524cb854b7b554ee58eee1c2ad12","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Sordariales",NA,NA,NA,0.6
"87","ASV3372","055d0edcc718124a17706a322a0ae095","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Trichomonascaceae",NA,NA,0.7
"88","ASV4564","05693161f6e8de57b5db9fc47e2b7fd9","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,0.9
"89","ASV2445","056953bab1e7cffb5750320de69380f7","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"90","ASV1209","056a85bcca226a3113541840b6bfa587","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Trichosporonales"," f__Trichosporonaceae"," g__Apiotrichum",NA,0.8
"91","ASV3358","056f6fa8ffc99a4f74ec9e2ece847014","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Metschnikowiaceae"," g__Clavispora-Candida_clade",NA,1
"92","ASV3833","058490eaf57f3f2a47f19f33c33e4198","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes"," o__Georgefischeriales"," f__Tilletiariaceae",NA,NA,0.7
"93","ASV1330","058e7bab91d596b238ccbc8dbdb85704","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"94","ASV3473","05a7cd737108018ef1815d313290207b","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Sordariales",NA,NA,NA,0.6
"95","ASV331","05b0dfba1be31c596a4c17c148d3d5ed","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.6
"96","ASV4166","05b2bca1a95fff0d291c51f1fda4446c","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",1
"97","ASV754","05bba2a311af9629c0d72a07c45be306","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Incertae_Sedis",NA,NA,0.7
"98","ASV1987","05cb22a369af61b8c400614f05fe8422","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.9
"99","ASV4027","05cb71bfd249eda637d1aa07ff8f8254","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.7
"100","ASV568","05cd492b4ee6c9db914c290fabb4789d","d__Eukaryota"," p__Basidiomycota",NA,NA,NA,NA,NA,1
"101","ASV1574","05d32a6c38b5cfe7cd001d85d1d850f4","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Stachybotryaceae",NA,NA,0.6
"102","ASV2837","05da2ebcc517bc8f723a92f59475ed89","d__Eukaryota"," p__Ascomycota"," c__Lecanoromycetes"," o__Lecanorales",NA,NA,NA,0.8
"103","ASV103","05f3b0ae78400b38fef2f11c827b8f46","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"104","ASV866","06153f6b9b1a2479d6010540288343f2","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.7
"105","ASV4671","061e18d96748fa103a58780509d8fee3","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"106","ASV2042","061e2b535a2a96ad8452a814d1502916","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"107","ASV369","0625b3dd4416b591d4d7753abfae3265","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Trichomonascaceae",NA,NA,0.7
"108","ASV4502","062d4a89bc686fa135cfc246518e1f02","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.6
"109","ASV3003","0630afaf0e35edf7c5bde1f91b0150ee","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"110","ASV3417","0639ca48a427059e384dadbfe7969fb1","d__Eukaryota"," p__Mucoromycota",NA,NA,NA,NA,NA,0.6
"111","ASV1530","0646e1cd9ab4957116d4b8d50bb6b577","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"112","ASV1670","06778ee585cdf8ffc4ec4675e41e5cc2","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",0.8
"113","ASV1408","067b0b6df17d27d238c3b47bf796a13c","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.6
"114","ASV3651","0689e3dd48aadb303313c14241882487","d__Eukaryota"," p__Basidiomycota",NA,NA,NA,NA,NA,1
"115","ASV1598","068bd5e68d20194a9ec0a7585851270c","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales",NA,NA,NA,0.6
"116","ASV2742","06a29e0768133de0c3d248a1e2076380","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes",NA,NA,NA,NA,0.6
"117","ASV4078","06a866c69d554048e50d5649b114c97b","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.6
"118","ASV1591","06c4920103513e1a826253d45ef65f11","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"119","ASV2136","06e603116502daa115a2c9186766183b","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.9
"120","ASV1678","06f140b9d967fc7f909c6eea62e64ed2","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Pleurotheciales"," f__Pleurotheciaceae",NA,NA,0.6
"121","ASV4576","0715daa4e484e6b5aa58ab6320264af3","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"122","ASV851","0718eeca1a5c3736d40aa76b32302eec","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Tulasnellaceae"," g__Tulasnella"," s__uncultured_Tulasnella",1
"123","ASV2552","071c0d4ffdc03b954e4ed56dbbd1cef5","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.9
"124","ASV850","073d767858127b83cf407928c6196b3f","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Ceratobasidiaceae",NA,NA,0.6
"125","ASV695","07568936f1609369ae03ad76d52fdd0d","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"126","ASV4707","075c212d0cb171f20b45a9060cb77a95","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.6
"127","ASV4432","07717f1e39f038e12c0e4271e1b79869","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales",NA,NA,NA,0.8
"128","ASV1931","0775b7fd71c817a033777e6bb3199ccd","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Nectriaceae"," g__Fusarium",NA,0.9
"129","ASV4055","07786dbc7e2501865b6a30e3d5482a12","d__Eukaryota"," p__Basidiomycota"," c__Ustilaginomycetes"," o__Ustilaginales"," f__Ustilaginaceae",NA,NA,1
"130","ASV1051","077b59a2b9ae6230f9b05696aa742683","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Venturiales"," f__Sympoventuriaceae"," g__Ochroconis",NA,0.9
"131","ASV4640","077c490f4fb7a7c9848a2fe80dad4236","d__Eukaryota"," p__Labyrinthulomycetes",NA,NA,NA,NA,NA,0.6
"132","ASV987","077dc76038df341faeb530c70671c889","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.6
"133","ASV3515","078072e832166aebce42e8d750823b3d","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes",NA,NA,NA,NA,0.6
"134","ASV4177","0782b190a828920fcd76ad0553b67a13","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"135","ASV1822","07842cb33c808225180fcaf44ca34a49","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"136","ASV2751","078b9a458af718cb5e23010238b4bf1d","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Eurotiales"," f__Trichocomaceae"," g__Talaromyces",NA,0.9
"137","ASV2822","078fe3b0ad0da0914f5cc979e7a29312","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",0.6
"138","ASV2085","079351b52ab915b39a79fdd3a8ebcaa7","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.9
"139","ASV620","07a210fcc50e33daf95afd1c8b03c664","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.7
"140","ASV3436","07ae8ab09c89d431bd6d3969445fea33","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"141","ASV1758","07b37a766f829b5d69fec235c24c6168","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Onygenales"," f__Arthrodermataceae",NA,NA,1
"142","ASV4385","07bd35c36a47220d330582f30ff1678d","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes",NA,NA,NA,NA,0.6
"143","ASV3689","07d475659019b8db7bb7465eafbf9f5f","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.9
"144","ASV2394","07eeed0f98c940857899d6efaf9231f6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"145","ASV1932","08067ae1454a94f47055e5694c997834","d__Eukaryota"," p__Basidiomycota",NA,NA,NA,NA,NA,0.833
"146","ASV2181","080a50cc4bc15d2c0884761e36397202","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Cordycipitaceae",NA,NA,0.7
"147","ASV2672","083689a68804c444e911fc75a6bbe2e4","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"148","ASV1111","083c9fa6fe01016ef239d5c98eb2754f","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.9
"149","ASV2351","0860bcfbee5d5e982f96961f716f0de6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"150","ASV3700","0863b863f0b7ed7eace5250fb50860ba","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"151","ASV2127","08766fed79aa7cab1bde8bc682f719a4","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales"," f__Agaricales"," g__Bolbitius"," s__Bolbitius_viscosus",1
"152","ASV1581","08945291b933500a34e74c9a80aa1ce3","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes",NA,NA,NA,NA,0.8
"153","ASV4542","089604d05bc01d6cc49c926d82523f54","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes"," o__Exobasidiales",NA,NA,NA,0.6
"154","ASV2680","08c040036a4676ab0a8713820c3e436f","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Togniniales"," f__Togniniaceae"," g__Phaeoacremonium",NA,0.8
"155","ASV2752","08c76d4cf63c6fef0fa40e811f1d7eae","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales"," f__Herpotrichiellaceae",NA,NA,1
"156","ASV2860","08dc031c6addc7652d8ba2e3879d9696","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Metschnikowiaceae"," g__Clavispora-Candida_clade",NA,1
"157","ASV1549","08fa3d6f7b8357756a17066d9edd5439","d__Eukaryota"," p__Mucoromycota"," c__Glomeromycetes",NA,NA,NA,NA,0.6
