"","ASV","Feature.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Consensus"
"3505","ASV2081","babcdf1c838071f20d8b2ade0b772cf6","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Kondoaceae"," g__Kondoa",NA,0.9
"3506","ASV2650","babf6385c170a4c61516908606e1c677","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"3507","ASV2941","bac3d4872bf665f7a7139e3ee64769ce","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Sporidiobolales"," f__Sporidiobolaceae"," g__Rhodotorula",NA,0.6
"3508","ASV760","badea5bf467e0cde7a9ac85d7c3e9e61","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales"," f__Herpotrichiellaceae",NA,NA,0.7
"3509","ASV1922","bae6cb6a53c68a21919398f79b15978b","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Eurotiales"," f__Aspergillaceae"," g__Penicillium",NA,0.9
"3510","ASV871","bb1196d8f6c197b0a830e3ba53a954d9","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Incertae_Sedis",NA,NA,NA,0.6
"3511","ASV3963","bb14cac8eb2a4354908758adb55fecd1","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.7
"3512","ASV4694","bb208644c10382c7ef20dee8e5d23caa","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes"," o__Spizellomycetales",NA,NA,NA,0.6
"3513","ASV907","bb283d85097ee90cceea3ba93fb010f8","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"3514","ASV2971","bb2a52f43a5dc24511bdc5cc2acbe4dd","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Dothideales"," f__Aureobasidiaceae"," g__Aureobasidium"," s__Aureobasidium_pullulans",0.6
"3515","ASV902","bb32a948852d3e36cd88ff6f1b42712c","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Nectriaceae"," g__Fusarium"," s__Fusarium_graminearum",0.8
"3516","ASV1915","bb5503a481496e7442019ce3b204d326","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Phaeosphaeriaceae",NA,NA,0.6
"3517","ASV3622","bb602cc7fb2149660f3acf05b3cd30dd","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"3518","ASV419","bb7e9b1f025a2ef2572abd4a0636ec7a","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Tulasnellaceae"," g__Tulasnella"," s__uncultured_Tulasnella",1
"3519","ASV948","bb88986a34bf21f2a91c21ec847996e2","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.6
"3520","ASV3312","bb91999544e6b5aeffffd8507efcc62f","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales",NA,NA,NA,0.9
"3521","ASV1663","bbbabdc0e170330c28c7ea18f5c455b0","d__Eukaryota"," p__Ascomycota"," c__Orbiliomycetes"," o__Orbiliales"," f__Orbiliaceae",NA,NA,0.7
"3522","ASV177","bbc715601b2a252812ba26db8ec4c76f","d__Eukaryota"," p__Basidiomycota"," c__Cystobasidiomycetes"," o__Incertae_Sedis"," f__Incertae_Sedis",NA,NA,0.8
"3523","ASV4049","bbd82db9196627696e69411cef177747","d__Eukaryota"," p__Peronosporomycetes"," c__Peronosporomycetes"," o__Peronosporomycetes"," f__Peronosporomycetes"," g__Peronosporomycetes",NA,0.7
"3524","ASV2427","bbdb3da70dbc264ca9999f084330ad7c","d__Eukaryota"," p__Basidiomycota"," c__Pucciniomycetes"," o__Pucciniales",NA,NA,NA,0.9
"3525","ASV2039","bbf8aea9d380514dbc47dfe6a1a3bf26","d__Eukaryota"," p__Mucoromycota"," c__Incertae_Sedis",NA,NA,NA,NA,0.9
"3526","ASV1580","bbfac089ecd4f5d0d69a4836a5f5df82","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Cordycipitaceae"," g__Beauveria"," s__Beauveria_bassiana",1
"3527","ASV2754","bc0e98ce272b216dddf629f15d04e853","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes",NA,NA,NA,NA,0.6
"3528","ASV1508","bc1b4e0fa1931f1bc35c0c3519003748","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Chionosphaeraceae"," g__Kurtzmanomyces",NA,0.667
"3529","ASV4735","bc48a5525e8f29befe3d510c8108b7f5","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"3530","ASV3984","bc498e253e664f08b07083168814c620","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Saccharomycetaceae",NA,NA,0.9
"3531","ASV2522","bc4cb51723a4c17325445d6692733c91","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
